split,generator,label_str,count
test,adm,synthetic,145
test,real_cifar10,real,1200
test,real_imagenet,real,427
test,stable_diffusion_v1_4,synthetic,1197
test,stable_diffusion_v1_5,synthetic,150
test,wukong,synthetic,143
train,adm,synthetic,678
train,real_cifar10,real,5600
train,real_imagenet,real,1989
train,stable_diffusion_v1_4,synthetic,5585
train,stable_diffusion_v1_5,synthetic,697
train,wukong,synthetic,671
validation,adm,synthetic,145
validation,real_cifar10,real,1200
validation,real_imagenet,real,426
validation,stable_diffusion_v1_4,synthetic,1197
validation,stable_diffusion_v1_5,synthetic,149
validation,wukong,synthetic,144
